,graph_i,mec_size,n_nodes,n_types,prob_inter,prob_intra,runtime,tmec_size,unoriented_tedges
89,8,144,100,10,0.2,0.3,10.265238046646118,12,0
90,9,4,10,10,0.2,0.3,0.0071315765380859375,4,2
91,9,72,20,10,0.2,0.3,0.825678825378418,72,5
92,9,24,30,10,0.2,0.3,0.07403254508972168,2,0
93,9,8,40,10,0.2,0.3,0.236130952835083,3,1
94,9,60,50,10,0.2,0.3,0.9869437217712402,8,1
95,9,80,60,10,0.2,0.3,0.77093505859375,3,1
96,9,96,70,10,0.2,0.3,1.4727327823638916,4,1
97,9,8,80,10,0.2,0.3,1.6512274742126465,3,0
98,9,360,90,10,0.2,0.3,1.9944746494293213,2,0
99,9,32,100,10,0.2,0.3,5.446150064468384,6,0
100,10,8,10,10,0.2,0.3,0.013264656066894531,8,3
101,10,6,20,10,0.2,0.3,0.04979753494262695,6,1
102,10,288,30,10,0.2,0.3,0.34644389152526855,12,2
103,10,128,40,10,0.2,0.3,0.764434814453125,12,1
104,10,12,50,10,0.2,0.3,0.5582695007324219,4,0
105,10,32,60,10,0.2,0.3,0.966890811920166,4,1
106,10,144,70,10,0.2,0.3,4.989344358444214,16,0
107,10,42,80,10,0.2,0.3,2.8764090538024902,6,0
108,10,96,90,10,0.2,0.3,1.2035019397735596,1,0
109,10,120,100,10,0.2,0.3,4.012092590332031,4,0
110,11,2,10,10,0.2,0.3,0.0040667057037353516,2,1
111,11,8,20,10,0.2,0.3,0.04023933410644531,4,0
112,11,80,30,10,0.2,0.3,0.29465222358703613,10,3
113,11,144,40,10,0.2,0.3,0.2584655284881592,3,2
114,11,144,50,10,0.2,0.3,0.579094648361206,4,1
115,11,4,60,10,0.2,0.3,0.4708867073059082,1,0
116,11,36,70,10,0.2,0.3,1.4664099216461182,4,0
117,11,6,80,10,0.2,0.3,1.2703909873962402,2,0
118,11,9,90,10,0.2,0.3,2.375487804412842,3,0
119,11,16,100,10,0.2,0.3,1.5712087154388428,1,0
120,12,4,10,10,0.2,0.3,0.006871938705444336,4,2
121,12,8,20,10,0.2,0.3,0.043378353118896484,4,2
122,12,72,30,10,0.2,0.3,0.17719459533691406,6,2
123,12,32,40,10,0.2,0.3,0.5231399536132812,8,1
124,12,72,50,10,0.2,0.3,0.5638959407806396,4,0
125,12,112,60,10,0.2,0.3,0.9741289615631104,4,0
126,12,120,70,10,0.2,0.3,6.397850513458252,20,1
127,12,32,80,10,0.2,0.3,2.6094777584075928,4,0
128,12,1568,90,10,0.2,0.3,24.116774082183838,32,0
129,12,120,100,10,0.2,0.3,4.787170171737671,4,0
130,13,3,10,10,0.2,0.3,0.00734710693359375,3,2
131,13,8,20,10,0.2,0.3,0.03001117706298828,2,1
132,13,16,30,10,0.2,0.3,0.2606849670410156,8,2
133,13,60,40,10,0.2,0.3,1.134399175643921,16,0
134,13,96,50,10,0.2,0.3,3.2666938304901123,24,2
135,13,84,60,10,0.2,0.3,2.848689317703247,12,0
136,13,128,70,10,0.2,0.3,1.7256743907928467,4,0
137,13,80,80,10,0.2,0.3,3.5027894973754883,6,1
138,13,42,90,10,0.2,0.3,2.0574474334716797,2,0
139,13,24,100,10,0.2,0.3,2.781010389328003,2,0
140,14,4,10,10,0.2,0.3,0.008297204971313477,4,2
141,14,20,20,10,0.2,0.3,0.19513368606567383,16,4
142,14,4,30,10,0.2,0.3,0.08189535140991211,2,0
143,14,24,40,10,0.2,0.3,1.1511425971984863,16,2
144,14,24,50,10,0.2,0.3,1.1684467792510986,8,0
145,14,6,60,10,0.2,0.3,0.4324467182159424,1,0
146,14,36,70,10,0.2,0.3,0.6872148513793945,1,0
147,14,20,80,10,0.2,0.3,1.460458755493164,2,0
148,14,16,90,10,0.2,0.3,3.456206798553467,4,0
149,14,8,100,10,0.2,0.3,2.741609811782837,2,0
150,15,8,10,10,0.2,0.3,0.014331340789794922,8,3
151,15,6,20,10,0.2,0.3,0.06640028953552246,6,3
152,15,36,30,10,0.2,0.3,0.3533341884613037,12,2
153,15,192,40,10,0.2,0.3,4.344815969467163,64,1
154,15,60,50,10,0.2,0.3,0.6689302921295166,4,0
155,15,48,60,10,0.2,0.3,1.1283540725708008,4,0
156,15,96,70,10,0.2,0.3,2.4423882961273193,6,2
157,15,32,80,10,0.2,0.3,1.5257847309112549,2,0
158,15,320,90,10,0.2,0.3,3.5788934230804443,4,0
159,15,24,100,10,0.2,0.3,1.801530122756958,1,0
160,16,8,10,10,0.2,0.3,0.014462709426879883,8,3
161,16,16,20,10,0.2,0.3,0.10386776924133301,8,3
162,16,20,30,10,0.2,0.3,0.6450307369232178,16,4
163,16,544,40,10,0.2,0.3,2.7301418781280518,40,1
164,16,8,50,10,0.2,0.3,0.26270532608032227,1,0
165,16,480,60,10,0.2,0.3,2.303220272064209,9,1
166,16,192,70,10,0.2,0.3,1.0750231742858887,2,0
167,16,48,80,10,0.2,0.3,1.4780817031860352,2,0
168,16,32,90,10,0.2,0.3,2.1094329357147217,2,0
169,16,32,100,10,0.2,0.3,2.745572805404663,2,0
170,17,1,10,10,0.2,0.3,0.002849578857421875,1,0
171,17,32,20,10,0.2,0.3,0.2003469467163086,16,5
172,17,144,30,10,0.2,0.3,0.2786242961883545,8,2
173,17,8,40,10,0.2,0.3,0.2064805030822754,2,0
174,17,36,50,10,0.2,0.3,0.4250199794769287,2,0
175,17,80,60,10,0.2,0.3,0.7151670455932617,2,0
176,17,8,70,10,0.2,0.3,0.7063908576965332,1,0
177,17,32,80,10,0.2,0.3,3.3667328357696533,6,0
178,17,48,90,10,0.2,0.3,16.56099224090576,24,0
179,17,72,100,10,0.2,0.3,4.5612733364105225,4,0
180,18,6,10,10,0.2,0.3,0.013743877410888672,6,3
181,18,24,20,10,0.2,0.3,0.07012605667114258,6,1
182,18,18,30,10,0.2,0.3,0.13842511177062988,4,1
183,18,72,40,10,0.2,0.3,0.5857768058776855,8,2
184,18,20,50,10,0.2,0.3,0.25089001655578613,1,0
185,18,336,60,10,0.2,0.3,1.5933709144592285,6,1
186,18,12,70,10,0.2,0.3,0.9817783832550049,2,0
187,18,480,80,10,0.2,0.3,1.181056261062622,1,0
188,18,24,90,10,0.2,0.3,1.3564298152923584,1,0
189,18,384,100,10,0.2,0.3,3.8673009872436523,3,0
190,19,2,10,10,0.2,0.3,0.004479408264160156,2,1
191,19,36,20,10,0.2,0.3,0.13516545295715332,12,4
192,19,16,30,10,0.2,0.3,0.384843111038208,12,0
